nombre_entidad,nit_entidad,nivel,orden,numero_de_resolucion,documento_contratista,nombre_contratista,numero_de_contrato,valor_sancion,fecha_de_publicacion,ruta_de_proceso,cod_depto,cod_mpio,dpto,nom_mpio
CORTOLIMA - CORPORACIÓN AUTÓNOMA REGIONAL DEL TOLIMA,890704536,NACIONAL,NACIONAL DESCENTRALIZADO,Resolución No.2667 del 05 de Noviembre de 2014,93405374,EDWIN SANTAMARIA ALDANA,CTO 587 DEL 30 DE DICIEMBRE DE 2011,10721123,2014-11-05T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618,73,73001,TOLIMA,IBAGUE
EJÉRCITO NACIONAL,NO DEFINIDO,NACIONAL,NACIONAL CENTRALIZADO,RESOLUCION 086-11-08-15,900427561,CABAR CONSTRUCCIONES SAS,662-2014,4393325,2015-08-10T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3517,73,73001,TOLIMA,IBAGUE
CORTOLIMA - CORPORACIÓN AUTÓNOMA REGIONAL DEL TOLIMA,890704536,NACIONAL,NACIONAL DESCENTRALIZADO,Resolución No.1460 del 08 de Julio de 2013,93380691,YIMI ARCINIEGAS,CTO 319 DE 2010,6034875,2013-07-08T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2611,73,73001,TOLIMA,IBAGUE
EJÉRCITO NACIONAL,NO DEFINIDO,NACIONAL,NACIONAL CENTRALIZADO,Res. No. 374,900427561,CABAR CONSTRUCCIONES SAS,662-JEING-2014,42718492.66,2016-10-11T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=4956,73,73001,TOLIMA,IBAGUE
CORTOLIMA - CORPORACIÓN AUTÓNOMA REGIONAL DEL TOLIMA,890704536,NACIONAL,NACIONAL DESCENTRALIZADO,Resolución No.1788 del 17 de Julio de 2015,1110456896,CHRISTIAN CAMILO REYES PALMA,CTO 661 DEL 31 DE DICIEMBRE DE 2014,945000,2015-07-17T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2619,73,73001,TOLIMA,IBAGUE
TOLIMA - INSTITUTO MUNICIPAL PARA EL DEPORTE Y LA RECREACIÓN DE IBAGUÉ - IMDRI,900406856,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,121,900826458,CONSORCIO ESCENARIOS UNIDAD DEPORTIVA 2015,CONTRATO DE OBRA PUBLICA 074 DE 2015,1198689910,2016-06-10T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3873,73,73001,TOLIMA,IBAGUE
DIRECCIÓN GENERAL DE LA POLICÍA NACIONAL (PONAL),800140603,NACIONAL,NACIONAL CENTRALIZADO,0126 DEL 20 AGO 2014,38252571,DISTRIBUCIONES MUNDIAL,PN METIB MIC 009 DE 2014,954000,2014-08-20T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=1137,73,73001,TOLIMA,IBAGUE
TOLIMA - INSTITUTO MUNICIPAL PARA EL DEPORTE Y LA RECREACIÓN DE IBAGUÉ - IMDRI,900406856,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,144,900839380,UNION TEMPORAL PARQUE DEPORTIVO IBAGUE 2015,119 DE 2015,14210735653,2017-07-28T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=6138,73,73001,TOLIMA,IBAGUE
INSTITUTO COLOMBIANO AGROPECUARIO (ICA),899999069,NACIONAL,NACIONAL DESCENTRALIZADO,040025,1110520353,FABIO HUMBERTO PRIETO REINA,2861-2018,178667,2018-05-24T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=7180,73,73001,TOLIMA,IBAGUE
TOLIMA - INSTITUTO MUNICIPAL PARA EL DEPORTE Y LA RECREACIÓN DE IBAGUÉ - IMDRI,900406856,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,276 - 01/11/2016,9008293428,CONSORCIO JUEGOS NACIONALES,CONTRATO DE INTERVENTORIA N 120 DE 2015,965365357,2016-11-01T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=4855,73,73001,TOLIMA,IBAGUE
